lon,lat,x,y,z,vp,vs,vp_vs_ratio
-84.700,9.560,0.000,40.000,25.000,7.010,3.940,1.7800
-84.700,9.560,0.000,40.000,30.000,7.390,4.150,1.7800
-84.700,9.560,0.000,40.000,35.000,7.550,4.240,1.7800
-84.700,9.560,0.000,40.000,40.000,8.140,4.570,1.7800
-84.700,9.560,0.000,40.000,50.000,8.140,4.570,1.7800
-84.700,9.560,0.000,40.000,65.000,8.260,4.640,1.7800
-84.700,9.560,0.000,40.000,90.000,8.260,4.640,1.7800
-84.700,9.560,0.000,40.000,700.000,10.300,5.790,1.7800
-84.700,9.740,0.000,60.000,-10.000,3.000,1.690,1.7800
-84.700,9.740,0.000,60.000,0.000,5.350,3.010,1.7800
-84.700,9.740,0.000,60.000,5.000,6.120,3.440,1.7800
-84.700,9.740,0.000,60.000,9.000,6.120,3.440,1.7800
-84.700,9.740,0.000,60.000,13.000,6.280,3.530,1.7800
-84.700,9.740,0.000,60.000,16.000,6.460,3.630,1.7800
-84.700,9.740,0.000,60.000,20.000,6.720,3.780,1.7800
-84.700,9.740,0.000,60.000,25.000,7.010,3.940,1.7800
-84.700,9.740,0.000,60.000,30.000,7.390,4.150,1.7800
-84.700,9.740,0.000,60.000,35.000,7.550,4.240,1.7800
-84.700,9.740,0.000,60.000,40.000,8.140,4.570,1.7800
-84.700,9.740,0.000,60.000,50.000,8.140,4.570,1.7800
-84.700,9.740,0.000,60.000,65.000,8.260,4.640,1.7800
-84.700,9.740,0.000,60.000,90.000,8.260,4.640,1.7800
-84.700,9.740,0.000,60.000,700.000,10.300,5.790,1.7800
-84.700,9.830,0.000,70.000,-10.000,3.000,1.690,1.7800
-84.700,9.830,0.000,70.000,0.000,5.350,3.010,1.7800
-84.700,9.830,0.000,70.000,5.000,6.120,3.440,1.7800
-84.700,9.830,0.000,70.000,9.000,6.120,3.440,1.7800
-84.700,9.830,0.000,70.000,13.000,6.280,3.530,1.7800
-84.700,9.830,0.000,70.000,16.000,6.460,3.630,1.7800
-84.700,9.830,0.000,70.000,20.000,6.720,3.780,1.7800
-84.700,9.830,0.000,70.000,25.000,7.010,3.940,1.7800
-84.700,9.830,0.000,70.000,30.000,7.390,4.150,1.7800
-84.700,9.830,0.000,70.000,35.000,7.550,4.240,1.7800
-84.700,9.830,0.000,70.000,40.000,8.140,4.570,1.7800
-84.700,9.830,0.000,70.000,50.000,8.140,4.570,1.7800
-84.700,9.830,0.000,70.000,65.000,8.260,4.640,1.7800
-84.700,9.830,0.000,70.000,90.000,8.260,4.640,1.7800
-84.700,9.830,0.000,70.000,700.000,10.300,5.790,1.7800
-84.700,9.919,0.000,80.000,-10.000,3.000,1.690,1.7800
-84.700,9.919,0.000,80.000,0.000,5.350,3.010,1.7800
-84.700,9.919,0.000,80.000,5.000,6.120,3.440,1.7800
-84.700,9.919,0.000,80.000,9.000,6.120,3.440,1.7800
-84.700,9.919,0.000,80.000,13.000,6.280,3.530,1.7800
-84.700,9.919,0.000,80.000,16.000,6.460,3.630,1.7800
-84.700,9.919,0.000,80.000,20.000,6.720,3.780,1.7800
-84.700,9.919,0.000,80.000,25.000,7.010,3.940,1.7800
-84.700,9.919,0.000,80.000,30.000,7.390,4.150,1.7800
-84.700,9.919,0.000,80.000,35.000,7.550,4.240,1.7800
-84.700,9.919,0.000,80.000,40.000,8.140,4.570,1.7800
-84.700,9.919,0.000,80.000,50.000,8.140,4.570,1.7800
-84.700,9.919,0.000,80.000,65.000,8.260,4.640,1.7800
-84.700,9.919,0.000,80.000,90.000,8.260,4.640,1.7800
-84.700,9.919,0.000,80.000,700.000,10.300,5.790,1.7800
-84.700,10.009,0.000,90.000,-10.000,3.000,1.690,1.7800
-84.700,10.009,0.000,90.000,0.000,5.350,3.010,1.7800
-84.700,10.009,0.000,90.000,5.000,6.120,3.440,1.7800
-84.700,10.009,0.000,90.000,9.000,6.120,3.440,1.7800
-84.700,10.009,0.000,90.000,13.000,6.280,3.530,1.7800
-84.700,10.009,0.000,90.000,16.000,6.460,3.630,1.7800
-84.700,10.009,0.000,90.000,20.000,6.720,3.780,1.7800
-84.700,10.009,0.000,90.000,25.000,7.010,3.940,1.7800
